湖南电信组播,#genre#
CCTV8K,http://113.245.248.70:4022/udp/239.76.254.199:9000
IPTV 4K,http://113.245.248.70:4022/udp/239.76.245.35:1234
CCTV-16 4K 50FPS,http://113.245.248.70:4022/udp/239.76.246.230:1234
CCTV-16 4K 25FPS,http://113.245.248.70:4022/udp/239.76.247.200:1234
天翼百事通4k,http://113.245.248.70:4022/udp/239.76.246.214:1234
天翼百事通4k,http://113.245.248.70:4022/udp/239.76.247.92:1234
天翼百事通4k,http://113.245.248.70:4022/udp/239.76.247.93:1234
湖南卫视超清,http://113.245.248.70:4022/udp/239.76.253.100:9000
湖南卫视高清,http://113.245.248.70:4022/udp/239.76.252.115:9000
湖南经视高清,http://113.245.248.70:4022/udp/239.76.252.116:9000
湖南都市高清,http://113.245.248.70:4022/udp/239.76.252.117:9000
湖南电视剧高清,http://113.245.248.70:4022/udp/239.76.252.118:9000
潇湘电影高清,http://113.245.248.70:4022/udp/239.76.252.119:9000
湖南公共高清,http://113.245.248.70:4022/udp/239.76.252.123:9000
湖南娱乐高清,http://113.245.248.70:4022/udp/239.76.252.121:9000
金鹰纪实高清,http://113.245.248.70:4022/udp/239.76.252.122:9000
金鹰卡通高清,http://113.245.248.70:4022/udp/239.76.252.120:9000
湖南国际高清,http://113.245.248.70:4022/udp/239.76.252.124:9000
快乐购高清,http://113.245.248.70:4022/udp/239.76.252.125:9000
湖南教育高清,http://113.245.248.70:4022/udp/239.76.252.233:9000
茶频道高清,http://113.245.248.70:4022/udp/239.76.252.239:9000
CCTV1高清,http://113.245.248.70:4022/udp/239.76.253.151:9000
CCTV2高清,http://113.245.248.70:4022/udp/239.76.253.152:9000
CCTV3高清,http://113.245.248.70:4022/udp/239.76.253.153:9000
CCTV4高清,http://113.245.248.70:4022/udp/239.76.253.154:9000
CCTV5高清,http://113.245.248.70:4022/udp/239.76.253.155:9000
CCTV6高清,http://113.245.248.70:4022/udp/239.76.253.156:9000
CCTV7高清,http://113.245.248.70:4022/udp/239.76.253.157:9000
CCTV8高清,http://113.245.248.70:4022/udp/239.76.253.158:9000
CCTV9高清,http://113.245.248.70:4022/udp/239.76.253.159:9000
CCTV10高清,http://113.245.248.70:4022/udp/239.76.253.160:9000
CCTV11高清,http://113.245.248.70:4022/udp/239.76.252.251:9000
